Title,Rating,Votes,Duration
282. Sugar,7.2, (5.3K),1h 54m
283. Stroker Ace,4.9, (4.6K),1h 36m
285. Take Me Out to the Ball Game,6.6, (4.3K),1h 33m
286. The Beautiful Game,6.3, (8.4K),2h 5m
287. Schumacher,7.4, (27K),1h 52m
288. Lean on Pete,7.1, (15K),2h 1m
289. The Match,6.9, (1.9K),1h 55m
290. The Last Champion,6.9, (1K),2h 2m
291. Peaceful Warrior,7.2, (31K),2h
292. Sarpatta Parambarai,8.5, (27K),2h 53m
293. United,7.3, (14K),1h 34m
294. Big Wednesday,7.1, (7.8K),2h
295. Uranus 2324,6.4, (5K),2h 10m
296. The Game Changers,7.8, (22K),1h 26m
297. Day of the Fight,6.9, (800),1h 48m
298. Sunshine,7.6, (165),1h 31m
299. Rez Ball,6.4, (2.7K),1h 51m
300. Fighting,5.6, (35K),1h 45m
301. The Great Race,7.2, (21K),2h 40m
302. Million Dollar Arm,7.0, (49K),2h 4m
303. Hard Times,7.2, (13K),1h 33m
305. Next Goal Wins,6.5, (30K),1h 44m
307. Mr. Woodcock,5.2, (38K),1h 27m
308. The King of Kong: A Fistful of Quarters,8.0, (38K),1h 19m
309. Pumping Iron,7.3, (26K),1h 26m
310. Above the Rim,6.6, (18K),1h 36m
311. Ladybugs,5.5, (11K),1h 30m
312. Everyone's Hero,5.7, (10K),1h 27m
313. Jersey,8.5, (26K),2h 37m
314. Wildcats,6.1, (15K),1h 46m
316. The Blood of Heroes,6.3, (8K),1h 44m
317. Lucky You,5.9, (21K),2h 4m
318. Fat City,7.2, (11K),1h 36m
319. Le Mans,6.7, (13K),1h 46m
320. The Harder They Fall,7.5, (9.8K),1h 49m
"321. Mystery, Alaska",6.7, (29K),1h 59m
322. Weekend Rebels,7.1, (1.9K),1h 49m
323. Best of the Best,6.4, (16K),1h 37m
324. D3: The Mighty Ducks,5.5, (30K),1h 44m
325. Minding the Gap,8.0, (11K),1h 33m
326. Planes: Fire & Rescue,5.9, (21K),1h 23m
327. Handsome Devil,7.0, (18K),1h 35m
328. Shooting Stars,6.5, (3.8K),1h 56m
329. Grudge Match,6.4, (64K),1h 53m
330. Rocco and His Brothers,8.2, (25K),2h 59m
331. The Fan,5.9, (53K),1h 56m
332. Good Game: The Beginning,4.8, (8.6K),1h 54m
333. Safety,6.8, (5.2K),2h 2m
334. Vision Quest,6.7, (11K),1h 47m
335. Borg vs. McEnroe,6.9, (36K),1h 47m
336. M.S. Dhoni: The Untold Story,8.0, (73K),3h 4m
337. In from the Side,6.7, (8.4K),2h 14m
338. Paan Singh Tomar,8.2, (39K),2h 15m
339. Blue Juice,5.1, (3.1K),1h 30m
340. 3 Ninjas Kick Back,4.6, (10K),1h 33m
341. A-X-L,5.3, (14K),1h 38m
342. Fight Like a Girl,8.7, (37),1h 58m
343. Beer League,5.9, (8.7K),1h 26m
344. The Love Guru,3.8, (56K),1h 27m
345. 80 for Brady,5.9, (14K),1h 38m
346. Chuck,6.5, (7.2K),1h 38m
347. Youngblood,6.2, (17K),1h 50m
348. Big George Foreman,6.6, (12K),2h 9m
349. Surf Ninjas,5.1, (9.4K),1h 27m
350. The Phantom of the Open,7.0, (8.7K),1h 46m
