Title,Rating,Votes,Duration
253. Big Hero 6,7.8, (536K),1h 42m
254. Don't Breathe,7.1, (321K),1h 28m
255. The Little Things,6.3, (136K),2h 8m
256. The Crow,4.7, (38K),1h 51m
257. Kiss the Girls,6.6, (97K),1h 55m
258. Kill Bill: Vol. 2,8.0, (845K),2h 17m
260. End of Watch,7.6, (284K),1h 49m
261. Despicable Me 4,6.2, (70K),1h 34m
262. Molly's Game,7.4, (198K),2h 20m
263. Deja Vu,7.1, (340K),2h 6m
264. Fracture,7.2, (229K),1h 53m
265. Finestkind,6.1, (12K),2h 6m
266. Black Mass,6.8, (199K),2h 3m
267. Maargan,6.8, (2.4K),2h 12m
268. Cruella,7.3, (285K),2h 14m
269. The Place Beyond the Pines,7.3, (303K),2h 20m
270. Thief,7.4, (45K),2h 3m
271. Love Lies Bleeding,6.6, (60K),1h 44m
272. Murder on the Orient Express,6.5, (313K),1h 54m
273. Maze,5.9, (3.7K),1h 32m
274. A History of Violence,7.4, (267K),1h 36m
276. Donnie Brasco,7.7, (348K),2h 7m
277. Chicago,7.2, (252K),1h 53m
278. The House That Jack Built,6.8, (101K),2h 32m
279. Monkey Man,6.8, (95K),2h 1m
280. The Mule,7.0, (163K),1h 56m
281. Sound of Freedom,7.6, (133K),2h 11m
282. Bad Boys,6.8, (308K),1h 59m
283. Dog Day Afternoon,8.0, (284K),2h 5m
284. Monster,7.3, (169K),1h 49m
285. No Way Out,7.1, (53K),1h 54m
286. Miss Congeniality,6.3, (242K),1h 49m
287. Blow Out,7.4, (71K),1h 48m
288. Ocean's Eight,6.3, (255K),1h 50m
289. Polar,6.3, (104K),1h 58m
290. Force of Nature: The Dry 2,5.9, (7.9K),2h
291. Hannibal,6.8, (307K),2h 11m
292. Rush Hour 2,6.7, (253K),1h 30m
293. Chopper,7.1, (43K),1h 34m
294. Big Trouble,6.4, (22K),1h 25m
295. Enola Holmes,6.6, (236K),2h 3m
296. Raising Arizona,7.3, (157K),1h 34m
297. Face/Off,7.3, (418K),2h 18m
298. Kingsman: The Golden Circle,6.7, (391K),2h 21m
299. Beverly Hills Cop,7.4, (226K),1h 45m
300. Long Gone Heroes,5.1, (1.5K),1h 41m
301. A Haunting in Venice,6.5, (134K),1h 43m
302. Homefront,6.5, (138K),1h 40m
303. Forgotten,7.4, (56K),1h 48m
304. Escape from Alcatraz,7.5, (160K),1h 52m
305. Red,7.0, (334K),1h 51m
306. Good Time,7.3, (149K),1h 42m
307. The Hitman's Bodyguard,6.9, (258K),1h 58m
308. The Sting,8.2, (293K),2h 9m
309. Lawless,7.2, (260K),1h 56m
310. Public Enemies,6.9, (330K),2h 20m
311. Mob Land,5.3, (4K),1h 52m
313. Gyanvapi Files: A Tailor's Murder Story,6.7, (1K),2h 5m
314. Emilia Pérez,5.4, (93K),2h 12m
315. Original Sin,6.0, (62K),1h 56m
316. Michael Clayton,7.2, (180K),1h 59m
317. The Assassination of Jesse James by the Coward Robert Ford,7.5, (200K),2h 40m
318. Ghost in the Shell,7.9, (167K),1h 23m
319. The American,6.3, (105K),1h 45m
320. To Catch a Killer,6.6, (53K),1h 59m
321. Inherent Vice,6.6, (115K),2h 28m
322. Weird: The Al Yankovic Story,6.8, (46K),1h 48m
323. Extraction,6.8, (282K),1h 56m
324. Witness for the Prosecution,8.4, (153K),1h 56m
325. Baywatch,5.5, (213K),1h 56m
326. Fast Five,7.3, (424K),2h 10m
327. Cocaine Bear,5.9, (122K),1h 35m
328. Labor Day,6.9, (55K),1h 51m
329. Death on the Nile,6.3, (204K),2h 7m
330. Natural Born Killers,7.2, (262K),1h 59m
331. Horrible Bosses,6.9, (482K),1h 38m
332. The Poughkeepsie Tapes,5.9, (29K),1h 21m
333. Carlito's Way,7.9, (242K),2h 24m
334. Captain Phillips,7.8, (511K),2h 14m
335. Dirty Harry,7.7, (177K),1h 42m
336. Dredd,7.1, (307K),1h 35m
337. Layer Cake,7.2, (204K),1h 45m
338. Lolita,7.5, (113K),2h 33m
339. In the Name of the Father,8.1, (198K),2h 13m
340. Traffic,7.5, (226K),2h 27m
341. To Kill a Mockingbird,8.3, (346K),2h 9m
342. The Warriors,7.5, (116K),1h 33m
343. Funny Games,7.5, (92K),1h 48m
344. Dog Man,6.3, (11K),1h 29m
345. Thelma & Louise,7.6, (186K),2h 10m
346. Decision to Leave,7.3, (63K),2h 19m
347. Miller's Crossing,7.7, (147K),1h 55m
348. The Instigators,6.2, (40K),1h 41m
349. Infinity Pool,6.0, (70K),1h 57m
350. Papillon,8.0, (143K),2h 31m
351. Cars 2,6.2, (242K),1h 46m
352. Night Hunter,6.0, (30K),1h 38m
353. Focus,6.6, (289K),1h 45m
354. The Girl Next Door,6.5, (31K),1h 31m
355. Gangs of Wasseypur,8.2, (109K),5h 21m
356. 3:10 to Yuma,7.6, (345K),2h 2m
357. Seven Psychopaths,7.1, (283K),1h 50m
358. Lord of War,7.6, (352K),2h 2m
359. Mississippi Burning,7.8, (123K),2h 8m
360. The Transporter,6.8, (333K),1h 32m
361. Nightmare Alley,7.0, (177K),2h 30m
362. The Boondock Saints,7.6, (259K),1h 48m
363. The Good Nurse,6.8, (87K),2h 1m
364. Extraction II,7.0, (166K),2h 2m
365. Charlie's Angels,5.6, (203K),1h 38m
366. Who Framed Roger Rabbit,7.7, (228K),1h 44m
367. Manhunter,7.2, (88K),2h
368. The Last Stop in Yuma County,6.9, (22K),1h 30m
369. Masterminds,5.8, (64K),1h 35m
370. Sexy Beast,7.3, (74K),1h 29m
371. Out of the Furnace,6.7, (130K),1h 56m
372. Batman Returns,7.1, (343K),2h 6m
373. Double Jeopardy,6.5, (101K),1h 45m
374. Burn,5.7, (8.4K),1h 28m
375. Freedom Writers,7.6, (91K),2h 3m
376. Fallen,7.0, (99K),2h 4m
377. BlacKkKlansman,7.5, (305K),2h 15m
378. The Best Offer,7.8, (134K),2h 11m
379. The Punisher,6.4, (177K),2h 4m
380. Shot Caller,7.3, (109K),2h 1m
382. Deadly Illusions,3.8, (14K),1h 54m
383. Adventures in Babysitting,6.9, (52K),1h 42m
384. Awake,6.5, (84K),1h 24m
385. Barron's Cove,6.1, (549),1h 56m
386. She Said,7.3, (48K),2h 9m
387. Road to Perdition,7.7, (295K),1h 57m
388. Appaloosa,6.7, (67K),1h 55m
389. The Secret Agent,7.8, (708),2h 38m
390. Eastern Promises,7.6, (272K),1h 40m
391. The Basketball Diaries,7.3, (128K),1h 42m
392. I Care a Lot,6.4, (155K),1h 58m
393. 2 Fast 2 Furious,5.9, (314K),1h 47m
394. Running Scared,7.3, (106K),2h 2m
395. Dogville,8.0, (165K),2h 51m
396. iHostage,5.7, (11K),1h 40m
397. Vengeance: A Love Story,5.2, (9.6K),1h 39m
398. Lucky Baskhar,8.0, (36K),2h 28m
399. It Was Just an Accident,7.6, (630),1h 45m
400. Lucky Number Slevin,7.7, (334K),1h 50m
401. Spiderhead,5.5, (71K),1h 46m
402. Kindergarten Cop,6.3, (171K),1h 51m
403. Before the Devil Knows You're Dead,7.3, (118K),1h 57m
404. RocknRolla,7.2, (272K),1h 54m
405. F9: The Fast Saga,5.2, (174K),2h 23m
406. The Substitute,6.1, (17K),1h 54m
407. Side Effects,7.1, (202K),1h 46m
408. Pushpa: The Rule - Part 2,6.1, (60K),3h 21m
409. Sin City: A Dame to Kill For,6.5, (176K),1h 42m
411. Chungking Express,7.9, (106K),1h 42m
412. A Fish Called Wanda,7.5, (162K),1h 48m
413. Wild at Heart,7.2, (109K),2h 5m
414. Wild Things,6.6, (138K),1h 48m
415. Beverly Hills Cop: Axel F,6.4, (83K),1h 58m
416. The Bone Collector,6.7, (196K),1h 58m
